ChargeCode,InstallationNo,LineNo,ChargeCardNo,Date,Time,Destination,CalledNo,Duration,TxtDirectRebate,Cost
Local         ,2890735600,90735600/0001  ,,08/11/2006,07:05,Belfast,028 9053 4555     ,00:01:15,0,0.045
Local         ,2890735600,90735600/0001  ,,08/11/2006,07:07,Belfast,028 9053 4555     ,00:00:21,0,0.035
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,08:06,Mobile Phone,07917 544421      ,00:00:23,0,0.085
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,08:45,Mobile Phone,07920 832227      ,00:00:46,0,0.135
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,08:53,Mobile Phone,07739 830589      ,00:00:52,0,0.13
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:10,Mobile Phone,07887 995373      ,00:00:28,0,0.095
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:10,Mobile Phone,07920 832227      ,00:00:20,0,0.08
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:12,Mobile Phone,07920 832443      ,00:01:18,0,0.21
Local         ,2890735600,90735600/0001  ,,08/11/2006,09:24,Newtownards,028 9182 3923     ,00:02:30,0,0.13
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:40,Mobile Phone,07710 744753      ,00:00:25,0,0.08
Local         ,2890735600,90735600/0001  ,,08/11/2006,09:44,Belfast,028 9060 2707     ,00:03:25,0,0.17
Local         ,2890735600,90735600/0001  ,,08/11/2006,09:46,Antrim,028 9446 7774     ,00:00:31,0,0.055
Local         ,2890735600,90735600/0001  ,,08/11/2006,09:46,Belfast,028 9042 8600     ,00:04:22,0,0.205
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:50,Mobile Phone,07920 187555      ,00:01:20,0,0.215
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:52,Mobile Phone,07920 187555      ,00:04:08,0,0.59
Mobile        ,2890735600,90735600/0001  ,,08/11/2006,09:58,Mobile Phone,07753 601342      ,00:11:37,0,1.31
Ntnl          ,2890735600,90735600/0001  ,,08/11/2006,10:00,London,020 7538 8230     ,00:00:18,0,0.055
