ChargeCode,InstallationNo,LineNo,ChargeCardNo,Date,Time,Destination,CalledNo,Duration,TxtDirectRebate,Cost
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,08:57,Mobile Phone,07879 436338      ,00:00:39,0,0.09
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,09:00,Mobile Phone,07810 336232      ,00:09:01,0,1.225
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,09:14,Mobile Phone,07920 832227      ,00:00:50,0,0.115
0870 numbers      ,2890735600,90735600/0001  ,,08/08/2006,09:15,0870 Numbers,0870 9075127      ,00:00:34,0,0.05
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,09:18,Mobile Phone,07879 810567      ,00:01:33,0,0.21
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,09:21,Washington,0191 417 9295     ,00:01:25,0,0.115
Local         ,2890735600,90735600/0001  ,,08/08/2006,09:40,Belfast,028 9024 0785     ,00:04:14,0,0.17
Local         ,2890735600,90735600/0001  ,,08/08/2006,09:41,Belfast,028 9080 4346     ,00:00:03,0,0.05
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,09:43,Omagh,028 8225 0444     ,00:00:26,0,0.05
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,09:45,Mobile Phone,07879 810567      ,00:00:42,0,0.095
Local         ,2890735600,90735600/0001  ,,08/08/2006,09:46,Belfast,028 9089 4542     ,00:00:45,0,0.05
Local         ,2890735600,90735600/0001  ,,08/08/2006,09:47,Belfast,028 9029 8181     ,00:00:20,0,0.05
Local         ,2890735600,90735600/0001  ,,08/08/2006,09:59,Belfast,028 9077 8890     ,00:01:25,0,0.06
Mobile        ,2890735600,90735600/0001  ,,08/08/2006,10:01,Mobile Phone,07968 185481      ,00:00:27,0,0.055
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,10:09,Ballymena,028 2565 3168     ,00:00:40,0,0.055
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,10:11,Coleraine,028 7034 3265     ,00:00:24,0,0.05
Local         ,2890735600,90735600/0001  ,,08/08/2006,10:14,Belfast,028 9055 8200     ,00:00:01,0,0.05
Local         ,2890735600,90735600/0001  ,,08/08/2006,10:15,Belfast,028 9070 7333     ,00:02:30,0,0.1
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,10:18,Dungannon,028 8772 2887     ,00:00:16,0,0.05
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,10:19,Enniskillen,028 6632 4712     ,00:00:38,0,0.055
Local         ,2890735600,90735600/0001  ,,08/08/2006,10:19,Glengormley,028 9084 2000     ,00:00:23,0,0.05
Local         ,2890735600,90735600/0001  ,,08/08/2006,10:23,Belfast,028 9020 2040     ,00:01:48,0,0.075
Ntnl          ,2890735600,90735600/0001  ,,08/08/2006,10:24,Magherafelt,028 7963 2465     ,00:01:10,0,0.095
Local         ,2890735600,90735600/0001  ,,08/08/2006,10:25,Belfast,028 9077 2999     ,00:00:10,0,0.05
